cus_comment,Completion result
来 广州 必要 吃 南信 啦 一进 店面 人山人海 的 场景 真实 有 被 吓 到 位子 自己 看 哪里 空 了 就 坐 哪儿 没有 排队 每桌 都 是 凭 桌 的 外卖 也 特别 多人店 内 的 服务员 估计 也 特烦 吧 每天 看到 那么 多人 所以 服务态度 就略 差 不过 吃 的 还是 很 厉害 说 一下 美食 吧 艇 仔粥料 多味 美 特别 滑爽 一口 接 一口 的 我 完全 停不下来 龟苓膏 略微 苦苦 的 可以 接受 配 上 椰汁 绝 了 虾仁 韭黄 肠粉 这个 很 一般 双皮奶 我点 的 是 原味 的 必须 要 隆重 推荐 啊 真的 是 大爱 吃 了 南信 的 双皮奶 感觉 之前 吃 的 都 是 假 双皮奶 奶味 特别 足不甜 入口 即 化 鲜虾 云吞 元个 性价比 太高 了 虾仁 搭配 少许 猪肉 简直 是 真爱 最后 要说 一下 广州 这边 街边 美食 也 会 踩 到 地雷 南信 这家 味道 正宗 环境 和 服务态度 就别 太 在意 了,"{""overall"":""8"",""taste"":""9"",""environment"":""3"",""service"":""3""}"
前晚 遛 完狗后 专登 过来 上下 九买 红豆 双皮奶 打包 翻 屋企 食 虽然 等 嘅 时间 比较 长 等 左 差不多 分钟 才 等到 我 嘅 个 双皮奶 但 出品 可以 弥补 左 等待 的 时间 的 不满 呢 间 老店 除 左 双皮奶 出名 外仲有 牛 三星 但 每次 晚上 过去 都 基本上 买 唔 到 的,"{""overall"":""8"",""taste"":""8"",""environment"":""7"",""service"":""7""}"
来 广州 就 不能不 吃 甜品 吃 甜品 就 不能不 去 南信 荔湾区 甜品 用 极品 营养 的 水 牛奶 现做 的 双皮奶 其 浓郁 纯度 不是 其他 省份 添加 吉利 丁片 做出 的 妖艳 可以 相提并论 的 姜汁 撞奶 热辣 呈 流膏体 椰汁 双拼 冰 糯 完全 是 高品质 奶酪 口感 完美 到 容不下 任何 乱七八糟 的 添料 吃 得 我 满脑 都 是 中华 小当 家里 满足 到 晕眩 的 金星 背景,"{""overall"":""9"",""taste"":""9"",""environment"":""8"",""service"":""8""}"
这么 多年 店面 一点 没 改变 点单 方式 也 还是 落座 看 菜单 跑点 单台 报桌 号 点 东西 菜单 似乎 也 差不多 分甜 咸 两张 六年 前来 这儿 第一次 吃 正宗 双皮奶 惊为天人 这次 过来 选择 了 黑糯米 没有 失望 只是 几年 来 嗜 甜 的 能力 严重 下降 吃 到 红豆 会 觉得 有点 甜 雪糕 倒 是 正好 黑糯米 则 是 经验 淡淡的 很软 糯是 理想 中 的 口味 甜品 份量 很大 碗 都 挺 深 的 两个 姑娘 的话 估计 三份 最多 了 吧,"{""overall"":""7"",""taste"":""8"",""environment"":""3"",""service"":""6""}"
早饭 没有 吃 先来点 云吞 垫 垫 饥 吧 这家 云吞面 做 的 不错 喜欢 他 的 口味 不过 双皮奶 貌似 他家 的 特色 个人 觉得 太厚 了 不 适合 我 还是 顺德 的 好吃 姜汁 撞奶 味道 还 不错 姜糖 番薯 味道 不错 喜欢 的 整体 这家 店 的 口味 可以 还是 老字号 呢,"{""overall"":""8"",""taste"":""7"",""environment"":""7"",""service"":""8""}"
热 的 南信 双皮奶 果冻 状奶味 浓郁 一碗 吃 下去 有点 腻 没 尝试 过 冰冻 的 可能 会 好些 餐厅 两层楼 生意 火爆 游客 慕名而来 属于 老字号 风格,"{""overall"":""7"",""taste"":""7"",""environment"":""6"",""service"":""8""}"
双皮奶 奶味 很浓 口感 不错 就是 吃 多 了 甜腻 偶尔 吃 下 很 美味 鱼片 粥 味道 一般 不 推荐 其一 有 鱼刺 吃 着 费劲 其二 鱼非 鲜鱼 应该 是 速冻 鱼片 味道 一般,"{""overall"":""6"",""taste"":""7"",""environment"":""3"",""service"":""3""}"
踩 雷 了 之前 看 攻略 都 推荐 这家 可能 口味 不 一样 吧 真心 觉得 一般 买 了 红豆 双皮奶 和 杨枝 甘露 出品 一般 双皮奶 两个 人 吃 都 腻 到 吐 买 之前 说 有 位置 可以 到 里面 吃 买 之后 才 看到 根本 没 位置 给 我 带 的 是 外卖 只能 带到 其他 店铺 吃 的 导致 不凉 了 就 更 不 好吃 了 杨枝 甘露 里 的 芒果 真的 这么 酸 吗 第一次 吃 这么 酸 的 杨枝 甘露 还有 纤维 酸到 我 都 没 怎么 吃 作为 推荐 前列 的 产品 表示 真的 一般 不 推荐,"{""overall"":""2"",""taste"":""2"",""environment"":""2"",""service"":""2""}"
南信 牛奶 甜品 专家 出品 的 粤式 甜品 双皮奶 必须 打卡 如果 你 到 广州 之前 有读 过 游记 和 攻略 的话 你 会 发现 他家 一定 会 出现 在 每 一篇 文章 里面 位置 上下 九 步行街 内 苹果 自带 导航 不准 我们 是 到 了 附近 再 根据 门牌号 找到 的 环境 他家 店铺 门面 不 大 外面 放着 一个 冰柜 可以 购买 外带 的 双皮奶 逛街 逛累 了 当然 是 堂 食 了 入 内 被 告知 一楼 满 了 去 到 二楼 还是 人 很多 必须 拼桌 甜品 自己 拿 了 自己 所在 餐桌 的 纸质 号码牌 去 收营员 那里 点单 我点 了 双皮奶 加 了 红豆 在 里面 另外 点 了 一杯 柠檬 红茶 双皮奶 是 一种 粤式 甜品 在 清朝 时 起源 自 顺德 用水 牛奶 做 原料 现 遍布 于 广东 澳门 香港 等 地 一碗 上佳 的 双皮奶 以 普通 牛奶 做 原料 其状 如膏 其色 洁白 质感 细腻 嫩 滑 口味 甜香 清淡 我 觉得 双皮奶 吃 起来 有点像 布丁 和 炖 蛋 的 结合体 甜甜的 很 好吃 柠檬 红茶 略 甜 分量 很足 服务 二楼 是 狭长 型 的 大厅 工作人员 收 台子 也 很 及时 注意 他家 店里 没有 厕所,"{""overall"":""8"",""taste"":""9"",""environment"":""6"",""service"":""7""}"
赶 高铁 没 时间 堂 吃 而且 好像 只有 双皮奶 和 杨枝 甘露 可以 打包 遗憾 没 吃 到 姜撞奶 双皮奶 超级 好吃 应该 是 真的 水 牛奶 做 的 长沙 哪个 店 都 吃 不到 的 滑腻 丰腴 奶 味十足 杨枝 甘露 芒果 多多 西米 很弹 水果 料 很 足 五星 好评,"{""overall"":""9"",""taste"":""9"",""environment"":""8"",""service"":""8""}"
菜单 分咸品 绿色 和 甜品 红色 咸品 有 云吞面 牛 三星 牛肉 萝卜 之类 的 甜品 就是 双皮奶 绿豆 爽 之类 的 点 了 姜撞 奶热 的 姜味 很浓 甜 双皮奶 点 了 冷 的 很 厚 很甜 杨枝 甘露 也 甜 上下 九 好比 上海南京路 的 感觉 人多 是 多 的 莱 这家 店 就 好比 在 南京 路上 吃 东西 人挤 人人 等 人 路过 就 吃 没 必要 特意 去 毕竟 广州 双皮奶 太多 了,"{""overall"":""6"",""taste"":""7"",""environment"":""3"",""service"":""6""}"
感恩 南信 开到 凌晨 晚上 点到 上下 九 步行街 只有 南信 还 开着 本来 以为 只有 双皮奶 没想到 咸食 也 很 不错 呢 附上 两张 菜单 大家 随便 看看 甜点 要 了 了 红豆 双皮奶 和 芒果 双皮奶 红豆 很 酥 奶味超 浓 本来 以为 自己 很 饿 一小 碗 双皮奶 根本 不是 问题 结果 半碗 就 饱 了 味道 超 香浓 却 不是 很甜 口感 绵滑超 好吃 主食 点 了 云吞面 和 牛筋 萝卜 河粉 云吞面 很淡 出乎意料 但是 很 清甜 虾仁 也 很 牛筋 萝卜 味道 不错 但是 萝卜 不 酥 不 喜欢 加上 双皮奶 已经 饱 了 把 牛筋 吃 完 就 撤 了 现在 想想 应该 点个 牛杂 萝卜 小吃 才 对,"{""overall"":""8"",""taste"":""8"",""environment"":""8"",""service"":""8""}"
广州 旅游 特地来 南信 吃 甜品 点 了 红豆 椰汁 双皮奶 姜撞奶 凤凰 糊 三碗 都 是 满满 一 大碗 红豆 椰汁 双皮奶 味道 一般 没有 原味 的 双皮奶 好吃 姜撞奶 个人 不是 很 喜欢 姜 的 味道 很重 吃 的 惯 的 人 应该 会 很 喜欢 最 喜欢 的 还是 凤凰 糊奶味 重连 喝 了 两天,"{""overall"":""6"",""taste"":""6"",""environment"":""7"",""service"":""8""}"
牛 三星 满满当当 的 还是 元来 着 真的 份量 超级 足有 牛 肝 牛 腰子 牛肉 嫩嫩的 很 好吃 还有 牛杂 萝卜 同样 左右 价钱 合理 很 大量 而且 味道 相当 够味 有点咸 有点 甜 对 了 双手 奶 也 推荐 不过 两个 人 吃 好点 一个 人吃会 腻 的 因为 是 甜 的 很多 但是 很纯 和 其他 非 专门 做 甜点 的 店 做 的 双皮奶 不 一样 的 一定 要 试试,"{""overall"":""9"",""taste"":""9"",""environment"":""3"",""service"":""8""}"
双皮奶 口味 类似 于 奶油 很浓 稠 味道 还 行 就是 多 吃 几口 腻 得 很 生意 火爆,"{""overall"":""7"",""taste"":""7"",""environment"":""8"",""service"":""8""}"
招牌 姜汁 双皮奶 很嫩 细腻 味 浓 吃 完 热热 的,"{""overall"":""8"",""taste"":""9"",""environment"":""3"",""service"":""8""}"
没 觉得 多么 好吃 啊 双皮奶 不 都 是 这个 味道 嘛 人 巨多,"{""overall"":""3"",""taste"":""3"",""environment"":""3"",""service"":""3""}"
